Label,ID
Jabaquara,1
Conceição,2
São Judas,3
Saúde,4
Praça da Árvore,5
Santa Cruz,6
Vila Mariana,7
Ana Rosa,8
Paraíso,9
Vergueiro,10
São Joaquim,11
Liberdade,12
Sé,13
São Bento,14
Luz,15
Tiradentes,16
Armênia,17
Portuguesa-Tietê,18
Carandiru,19
Santana,20
Jardim São Paulo,21
Parada Inglesa,22
Tucuruvi,23
Vila Prudente,24
Tamanduatei,25
Sacomã,26
Alto do Ipiranga,27
Santos-Imigrante,28
Chácara Klabin,29
Brigadeiro,30
Trianon-MASP,31
Consolação,32
Clínicas,33
Santuário N.S de Fátima-Sumaré,34
Vila Madalena,35
Corinthians-Itaquera,36
Artur Alvim,37
Patriarca-Vila Ré,38
Guilhermina-Esperança,39
Vila Matilde,40
Penha-Lojas Besni,41
Carrão-Assaí Atacadista,42
Tatuapé,43
Belém,44
Bresser-Moóca,45
Brás,46
Pedro II,47
Anhangabaú,48
República,49
Santa Cecília,50
Marechal Deodoro,51
Palmeiras-Barra Funda,52
Oratório,53
São Lucas,54
Camilo Haddad,55
Vila Tolstói,56
Jardim Planalto,57
Vila União,58
Sapopemba,59
Fazenda da Juta,60
São Mateus,61
Jardim Colonial,62
Capão Redondo,63
Campo Limpo,64
Vila das Belezas,65
Giovanni Gronchi,66
Santo Amaro,67
Largo Treze,68
Adolfo Pinheiro,69
Alto da Boa Vista,70
Borba Gato,71
Brooklin,72
Campo Belo,73
Eucaliptos,74
Moema,75
AACD Servidos,76
Hospital São Paulo,77
Vila Sônia,78
São Paulo - Morumbi,79
Butantã,80
Pinheiros,81
Faria Lima,82
Fradique Coutinho,83
Oscar Freire,84
Paulista,85
Higienópolis-Mackenzie,86
Água Branca,87
Lapa,88
Piqueri,89
Pirituba,90
Vila Clarice,91
Jaraguá,92
Vila Aurora,93
Perus,94
Caierias,95
Franco da Rocha,96
Baltazar Fidelis,97
Francisco Morato,98
Botujutu,99
Vázea Paulista,100
Jundiaí,101
Mooca,102
Ipiranga,103
São Caetano,104
Utinga,105
Prefeito Saladino,106
Santo André,107
Capuava,108
Mauá,109
Guapituba,110
Ribeirão Pires,111
Rio Grande da Serra,112
Dom Bosco,113
José Bonifácio,114
Guaianazes,115
Antonio Gianetti Neto,116
Ferraz de Vasconcelos,117
Poá,118
Calmon Viana,119
Suzano,120
Jundiapeba,121
Brás Cubas,122
Mogi das Cruzes,123
Estudantes,124
Engenheiro Goulart,125
USP Leste,126
Comendador Ermelino,127
São Miguel Paulista,128
Jardim Helena- Vila Mara,129
Itaim Paulista,130
Jardim Romano,131
Engenheiro Manoel Feio,132
Itaquaquecetuba,133
Aracaré,134
Guarulhos-Cecap,135
Aeroposto-Guarulhos,136
Amador Bueno,137
Ambuitá,138
Itapevi,139
Engenheiro Cardoso,140
Sagrado Coração,141
Jandira,142
Jardim Silveira,143
Jardim Belval,144
Barueri,145
Antonio João,146
Santa Terezinha,147
Carapicuíba,148
General Miguel Costa,149
Quitaúna,150
Comandante Sampaio,151
Osasco,152
Presidente Altino,153
Imperatriz Leopoldina,154
Domingos de Morais,155
Júlio Prestes,156
Ceasa,157
Cidade Universitária,158
Hebraicas-Rebouças,159
Cidade Jardim,160
Vila Olímpia,161
Berrini,162
Morumbi,163
Granja Julieta,164
João Dias,165
Socorro,166
Jurubatuba,167
Autódromo,168
Primavera-Interlagos,169
Grajaú,170
Bruno Covas,171
Varguinha,172